,model,scaler,R2,RMSE,duration,not null gt,exclude,columns
0,XGBoost,quantile,56.63725056683023,0.2166535783585451,2.0,20,sat geometry,37
1,XGBoost,quantile,56.80661032127552,0.2162300778383141,0.0,20,all sat data,7
2,XGBoost,quantile,58.14291426467777,0.21285896924223444,3.0,20,nothing,68
3,XGBoost,quantile,58.33227799717087,0.21237693065484353,1.0,80,sat geometry,27
4,XGBoost,quantile,56.80661032127552,0.2162300778383141,0.0,80,all sat data,7
5,XGBoost,quantile,56.1393116456387,0.2178939553639233,2.0,80,nothing,50
6,XGBoost,quantile,56.10636273350924,0.21797578286421646,2.0,90,sat geometry,24
7,XGBoost,quantile,56.80661032127552,0.2162300778383141,0.0,90,all sat data,7
8,XGBoost,quantile,58.464712727749244,0.21203915761998368,2.0,90,nothing,42
9,XGBoost,robust,56.09174913339711,0.21801206541034404,2.0,20,sat geometry,37
10,XGBoost,robust,57.03464407338365,0.21565854354655642,0.0,20,all sat data,7
11,XGBoost,robust,57.709989231783396,0.21395693053801348,2.0,20,nothing,68
12,XGBoost,robust,57.754940158705395,0.21384319068302252,1.0,80,sat geometry,27
13,XGBoost,robust,57.03464407338365,0.21565854354655642,0.0,80,all sat data,7
14,XGBoost,robust,58.991480628874186,0.2106902825423259,2.0,80,nothing,50
15,XGBoost,robust,57.10730815622027,0.21547610281979473,1.0,90,sat geometry,24
16,XGBoost,robust,57.03464407338365,0.21565854354655642,0.0,90,all sat data,7
17,XGBoost,robust,58.9364925287033,0.2108314919473621,2.0,90,nothing,42
18,XGBoost,power,58.69440418396273,0.2114520531841703,2.0,20,sat geometry,37
19,XGBoost,power,56.67739968578789,0.21655325648334478,0.0,20,all sat data,7
20,XGBoost,power,57.38427608479184,0.21477928686580647,2.0,20,nothing,68
21,XGBoost,power,58.21537925020046,0.2126746336191759,1.0,80,sat geometry,27
22,XGBoost,power,56.67739968578789,0.21655325648334478,0.0,80,all sat data,7
23,XGBoost,power,56.694720857518675,0.2165099611696117,2.0,80,nothing,50
24,XGBoost,power,57.2265477852961,0.2151763877534,1.0,90,sat geometry,24
25,XGBoost,power,56.67739968578789,0.21655325648334478,0.0,90,all sat data,7
26,XGBoost,power,58.53568712406319,0.21185791672004742,1.0,90,nothing,42
27,Linear Regression 1,quantile,67.47521378614141,0.18763536061724628,1.0,20,sat geometry,37
28,Linear Regression 1,quantile,64.09063973397797,0.1971565886256048,0.0,20,all sat data,7
29,Linear Regression 1,quantile,67.25365596289498,0.1882733590497546,2.0,20,nothing,68
30,Linear Regression 1,quantile,67.72766827060617,0.18690573759014684,1.0,80,sat geometry,27
31,Linear Regression 1,quantile,64.09063973397797,0.1971565886256048,0.0,80,all sat data,7
32,Linear Regression 1,quantile,67.42064832403149,0.18779268862478476,1.0,80,nothing,50
33,Linear Regression 1,quantile,67.2580112995363,0.1882608382455178,1.0,90,sat geometry,24
34,Linear Regression 1,quantile,64.09063973397797,0.1971565886256048,0.0,90,all sat data,7
35,Linear Regression 1,quantile,67.08875230132938,0.18874681614569386,1.0,90,nothing,42
36,Linear Regression 1,robust,66.08990015699096,0.19158962844553745,1.0,20,sat geometry,37
37,Linear Regression 1,robust,64.29428030341013,0.19659676017679578,0.0,20,all sat data,7
38,Linear Regression 1,robust,66.11881558487583,0.19150792597940994,1.0,20,nothing,68
39,Linear Regression 1,robust,66.36068254941789,0.19082314469368086,0.0,80,sat geometry,27
40,Linear Regression 1,robust,64.29428030341013,0.19659676017679578,0.0,80,all sat data,7
41,Linear Regression 1,robust,65.88034394714396,0.1921807054407069,1.0,80,nothing,50
42,Linear Regression 1,robust,66.47199102436893,0.19050717763030145,0.0,90,sat geometry,24
43,Linear Regression 1,robust,64.29428030341013,0.19659676017679578,0.0,90,all sat data,7
44,Linear Regression 1,robust,66.18080402630282,0.19133265594528132,0.0,90,nothing,42
45,Linear Regression 1,power,67.36623703142102,0.18794944097919672,1.0,20,sat geometry,37
46,Linear Regression 1,power,64.0366590061936,0.1973047207480405,0.0,20,all sat data,7
47,Linear Regression 1,power,67.74133583253432,0.1868661554445334,1.0,20,nothing,68
48,Linear Regression 1,power,67.62757698976358,0.18719535335208548,0.0,80,sat geometry,27
49,Linear Regression 1,power,64.0366590061936,0.1973047207480405,0.0,80,all sat data,7
50,Linear Regression 1,power,67.89441666750331,0.18642224921011621,1.0,80,nothing,50
51,Linear Regression 1,power,67.46146064611995,0.18767502732909622,0.0,90,sat geometry,24
52,Linear Regression 1,power,64.0366590061936,0.1973047207480405,0.0,90,all sat data,7
53,Linear Regression 1,power,67.66591009318614,0.18708448886169196,1.0,90,nothing,42
54,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,2.0,20,sat geometry,37
55,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,0.0,20,all sat data,7
56,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,3.0,20,nothing,68
57,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,1.0,80,sat geometry,27
58,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,0.0,80,all sat data,7
59,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,2.0,80,nothing,50
60,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,1.0,90,sat geometry,24
61,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,0.0,90,all sat data,7
62,Random Forest,quantile,-0.0032409017181489475,0.32901409104829954,1.0,90,nothing,42
63,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,1.0,20,sat geometry,37
64,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,0.0,20,all sat data,7
65,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,2.0,20,nothing,68
66,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,1.0,80,sat geometry,27
67,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,0.0,80,all sat data,7
68,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,1.0,80,nothing,50
69,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,1.0,90,sat geometry,24
70,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,0.0,90,all sat data,7
71,Random Forest,robust,-0.0032409017181489475,0.32901409104829954,1.0,90,nothing,42
72,Random Forest,power,-0.0032409017181489475,0.32901409104829954,1.0,20,sat geometry,37
73,Random Forest,power,-0.0032409017181489475,0.32901409104829954,0.0,20,all sat data,7
74,Random Forest,power,-0.0032409017181489475,0.32901409104829954,2.0,20,nothing,68
75,Random Forest,power,-0.0032409017181489475,0.32901409104829954,1.0,80,sat geometry,27
76,Random Forest,power,-0.0032409017181489475,0.32901409104829954,0.0,80,all sat data,7
77,Random Forest,power,-0.0032409017181489475,0.32901409104829954,1.0,80,nothing,50
78,Random Forest,power,-0.0032409017181489475,0.32901409104829954,1.0,90,sat geometry,24
79,Random Forest,power,-0.0032409017181489475,0.32901409104829954,0.0,90,all sat data,7
80,Random Forest,power,-0.0032409017181489475,0.32901409104829954,1.0,90,nothing,42
81,LGBoost,quantile,45.4972900114722,0.24289384475652614,1.0,20,sat geometry,37
82,LGBoost,quantile,21.422332541961964,0.29164667356338375,0.0,20,all sat data,7
83,LGBoost,quantile,48.487069382305805,0.23613784195427226,2.0,20,nothing,68
84,LGBoost,quantile,42.96675122633935,0.248468601971531,1.0,80,sat geometry,27
85,LGBoost,quantile,21.422332541961964,0.29164667356338375,0.0,80,all sat data,7
86,LGBoost,quantile,46.28509911663122,0.24113200110783908,1.0,80,nothing,50
87,LGBoost,quantile,40.6158112834887,0.25353789179514724,1.0,90,sat geometry,24
88,LGBoost,quantile,21.422332541961964,0.29164667356338375,0.0,90,all sat data,7
89,LGBoost,quantile,46.26199517231397,0.24118385358546737,1.0,90,nothing,42
90,LGBoost,robust,44.6140967846515,0.24485393177964804,1.0,20,sat geometry,37
91,LGBoost,robust,19.819762734599443,0.29460568928126624,0.0,20,all sat data,7
92,LGBoost,robust,49.26456578330708,0.23434902540657068,1.0,20,nothing,68
93,LGBoost,robust,43.08121489791238,0.24821914298725167,0.0,80,sat geometry,27
94,LGBoost,robust,19.819762734599443,0.29460568928126624,0.0,80,all sat data,7
95,LGBoost,robust,45.13658459070494,0.24369626949531606,1.0,80,nothing,50
96,LGBoost,robust,42.189393697038156,0.2501561722911851,0.0,90,sat geometry,24
97,LGBoost,robust,19.819762734599443,0.29460568928126624,0.0,90,all sat data,7
98,LGBoost,robust,46.091633735807704,0.24156585431792912,1.0,90,nothing,42
99,LGBoost,power,46.464052082107465,0.24072999639466075,1.0,20,sat geometry,37
100,LGBoost,power,21.817747624186936,0.29091194229518863,0.0,20,all sat data,7
101,LGBoost,power,47.88876528792514,0.23750521093965737,1.0,20,nothing,68
102,LGBoost,power,43.05544860186917,0.24827531920627738,1.0,80,sat geometry,27
103,LGBoost,power,21.817747624186936,0.29091194229518863,0.0,80,all sat data,7
104,LGBoost,power,45.80516469664781,0.24220684432303577,1.0,80,nothing,50
105,LGBoost,power,41.61369420957064,0.25139866069763217,0.0,90,sat geometry,24
106,LGBoost,power,21.817747624186936,0.29091194229518863,0.0,90,all sat data,7
107,LGBoost,power,45.382907342342946,0.24314858699660322,1.0,90,nothing,42
